31171134403 33388436603 36349642901 36349642901 37547786903 31642499101 19931795801 19931795801 2149650860 2149650860 1370027235 1370027235 1370027235 1370027235 1990727171 1990727171 1990727171 1990727171 2729874363 2729874363 2729874363 2729874363 2729874363 3805574429 29968007503 27142987101 5978771816 5978771816 5978771816 5978771816 1162578205 32586504803 32586504803 34110508703 34110508703 34110508703 3782660730 3782660730 31108658003 31108658003 100614500403 31656890801 31656890801 32925987201 32925987201 32925987201 10716949660 10716949660 10716949660 12655821502 12655821502 2996142862 2996142862 16743354003 1193372665 1193372665 1193372665 31380184801 31380184801 11600830602 11600830602 11600830602 18634363901 18634363901 12519599802 12519599802 12519599802 12519599802 12519599802 17936182803 17936182803 20560969003 106305001 106305001 12655821502 2996142862 1193372665 1193372665 31380184801 31380184801 31380184801 11600830602 11600830602 22022047803 22022047803 4277762913 4277762913 926102160 926102160 2408503463 2408503463 33598943003 33598943003 2705683163 2705683163 34104464003 34104464003 34104464003 12823303402 12823303402 10554973659 10554973659 4278289513 4278289513 26781691303 26781691303 26781691303 11190542060 40085388801 40085388801 12122560402 12122560402 12122560402 31193681501 4178419429 4178419429 | 31171134403
31551110903 31551110903 29013975703 29013975703 91513058601 91513058601 91799093103 91799093103 91799093103 99037717703 99037717703 98032915401 98032915401 32654106303 32654106303 31551110903 24845678303 96417876303 96417876303 7452090516 7452090516 47891037101 47976411201 47976411201 41510321003 41510321003 41510321003 41510321003 41510321003 41510321003 92257541703 92257541703 38718056303 38718056303 | 31551110903
97900451701 31162587803 32767682903 4979669113 12109052702 12109052702 12109052702 33236073103 33236073103 33236073103 33236073103 | 97900451701
34980117303 99493990103 57606628601 99493990103 97037102603 | 34980117303
41643663403 41643663403 41643663403 99803434201 28162768601 | 41643663403
20962763503 33064004403 4053972130 4053972130 33264198603 33264198603 | 20962763503
31752738103 31752738103 31752738103 31752738103 97600295903 97600295903 4315784714 4315784714 4315784714 4315784714 4315784714 3923627129 3923627129 29000369803 29000369803 29000369803 33533187203 33533187203 1209027905 1209027905 1209027905 31064591403 31064591403 32246077401 32246077401 32246077401 29000369803 29000369803 29000369803 28651222203 28651222203 28651222203 28651222203 28651222203 17470775003 17470775003 28651222203 28651222203 28651222203 4315784714 4315784714 38217965803 38217965803 28420155101 28420155101 29000369803 29000369803 21638612301 21638612301 21638612301 21638612301 21638612301 21638612301 21638612301 17470775003 8641369864 8641369864 8641369864 8641369864 4315784714 35671836203 35671836203 40864455803 40864455803 40864455803 | 31752738103
23979445601 23979445601 23979445601 44481914201 32723862703 32723862703 30944909903 25793444003 30944909903 49912652601 49912652601 25984127903 33325223901 33325223901 29157808701 42593500 23688291103 23688291103 38165176603 81712086403 95974498003 95974498003 95782099201 93744228001 93744228001 25188866403 25188866403 25188866403 40084913803 40084913803 32723862703 25893885503 25893885503 25793444003 25793444003 25793444003 29157808701 23688291103 95974498003 25188866403 25188866403 25188866403 25188866403 25188866403 25188866403 | 23979445601
3918984530 3918984530 96157081001 32616963403 31332293503 33994600401 101823333603 101823333603 903486260 12416887901 30978124801 12420370401 99327825103 88863416203 85138482701 10962292359 27153204603 97793460201 34567829703 34567829703 | 3918984530
15939763403 15939763403 15939763403 31946400103 31946400103 31946400103 33854895903 33854895903 33854895903 33854895903 33481121303 33481121303 33481121303 33481121303 33481121303 33481121303 33481121303 5600241114 5600241114 5600241114 | 15939763403
33481121303 33481121303 33481121303 33481121303 33481121303 26336402503 26336402503 33481121303 33481121303 29624751403 33481121303 33481121303 33481121303 33481121303 33481121303 33481121303 33481121303 33481121303 33481121303 32067621703 32067621703 15939763403 15939763403 32240012103 26336402503 31946400103 33854895903 33854895903 20567325201 20567325201 5600241114 31430498203 12260408602 33857479703 31134030703 33481121303 33481121303 | 33481121303
31365716603 9876596460 7421207716 7421207716 7421207716 12672114001 41527926403 1991113771 33082267003 30485125603 31317563203 31317563203 3289520630 3289520630 3289520630 9876596460 20601925803 97671540403 96412410803 23871145303 23871145303 23871145303 23871145303 30485125603 30485125603 96503085801 96503085801 97461917203 23871145303 23871145303 93385076503 16390693403 30135079003 30135079003 22388012903 24180390701 24180390701 | 31365716603
94505696601 101998228303 101998228303 25887324003 25887324003 25887324003 25887324003 52149244503 25887324003 25887324003 52790268303 52790268303 52790268303 99854306103 99854306103 31305424503 31305424503 31305424503 108637241403 21132287901 21132287901 25887324003 10429631860 10429631860 52790268303 52790268303 52790268303 52790268303 108354705703 108354705703 33634565001 33634565001 43262038803 43262038803 97256618203 99854306103 99854306103 | 94505696601
31305424503 31305424503 31305424503 43164272803 43164272803 43164272803 43164272803 39244275603 39244275603 29286777603 108328602903 108328602903 108328602903 108328602903 8900243864 8900243864 21132287901 21132287901 16022155303 | 31305424503
97979347603 40169416301 31053613303 31239175001 97994026903 | 97979347603
14861732803 24098320603 18925050303 5622532513 41152196303 | 14861732803
98857622501 33087803803 33087803803 33087803803 31093462101 31318340403 30761348001 31645463803 747528739 32742757803 | 98857622501
98702777101 98702777101 98702777101 23299233801 23299233801 98702777101 98005739503 98005739503 43473418303 43473418303 | 98702777101
38948335503 3196407745 3196407745 3196407745 23758151303 23758151303 30934816403 32919613801 | 38948335503
96636578603 96636578603 98914195903 98914195903 98914195903 98914195903 | 96636578603
106828625901 106592140903 99514607801 99385105303 99385105303 | 106828625901
34938661501 34938661501 34938661501 67923659403 24728050303 13424168602 32200774503 31008743703 31008743703 | 34938661501
